Timestamp,What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,What facilities you would like a society to feature?,What all facilities you want nearby your area?
4/5/2021 19:52:13,25 - 35,Male,Mumbai Central,1lakh - 3lakh,No,,,,,,,No,No,Charni Road,Bungalow,5Cr - 6Cr,1200,3 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","School, College, Hospitals, Medical, Railway Station, Market"
4/4/2021 10:46:14,25 - 35,Male,Mumbai Central,3lakh - 5lakh,Yes,Building,324,1 BHK,4700000,"24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","School, College, Medical, Railway Station, Market",No,Yes,Mumbai Central,Building,40lakh - 50lakh,5555,2 BHK,Resale House,"Maintenance Staff, Gas Pipeline, 24Hr Security","Hospitals, Railway Station"
4/12/2021 22:36:50,36 - 45,Male,Mumbai Central,7lakh - 9lakh,Yes,Building,685,1 BHK,4300000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Medical, Railway Station, Market",Yes,Yes,Prabhadevi,Building,2Cr - 3Cr,1000,2 BHK,Resale House,"Car Parking, Lift, 24Hr Security","Medical, Market"
4/11/2021 13:07:04,25 - 35,Female,Naigaon,1lakh - 3lakh,No,,,,,,,No,Yes,Vasai Road,Building,30lakh - 40lakh,300,1 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/11/2021 12:40:06,25 - 35,Female,Naigaon,3lakh - 5lakh,No,,,,,,,Yes,Yes,Virar,Building,40lakh - 50lakh,400,1 BHK,Resale House,"Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/11/2021 12:25:00,46 - 55,Female,Naigaon,5lakh - 7lakh,No,,,,,,,Yes,Yes,Vasai Road,Building,30lakh - 40lakh,400,1 BHK,Resale House,"Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/10/2021 12:30:53,46 - 55,Female,Nallasopara,7lakh - 9lakh,Yes,Building,580,1 BHK,2700000,"Gas Pipeline, Lift","Railway Station, Market",Yes,Yes,Virar,Building,40lakh - 50lakh,500,1 BHK,Resale House,Lift,"Railway Station, Market"
4/10/2021 12:20:59,46 - 55,Male,Nallasopara,7lakh - 9lakh,Yes,Building,570,1 BHK,2700000,Lift,"Railway Station, Market",No,Yes,Virar,Building,40lakh - 50lakh,600,2 BHK,Resale House,"Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/7/2021 23:59:06,36 - 45,Female,Nallasopara,7lakh - 9lakh,Yes,Building,605,1 BHK,2800000,"Car Parking, Gas Pipeline, Lift","Railway Station, Market",No,Yes,Borivali,Building,40lakh - 50lakh,500,2 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/7/2021 23:56:36,36 - 45,Female,Nallasopara,7lakh - 9lakh,Yes,Building,600,1 BHK,2800000,"Maintenance Staff, Lift","Railway Station, Market",No,Yes,Borivali,Building,40lakh - 50lakh,400,1 BHK,Resale House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
